Time, Energy (Kev2I)
0, 84
1, 142
2, 291
4, 180
4, 1142
4, 123
4, 854
5, 180
5, 218
5, 145
6, 225
6, 176
6, 450
8, 171
9, 521
9, 168
10, 291
10, 281
13, 157
14, 116
20, 395
20, 498
23, 77
24, 213
26, 64
28, 294
29, 96
30, 146
30, 429
30, 110
31, 170
31, 49
32, 54
32, 292
35, 1685
36, 198
37, 45
37, 217
38, 74
42, 107
43, 222
44, 207
44, 333
46, 238
46, 102
47, 226
48, 408
49, 80
50, 303
52, 194
52, 193
52, 276
54, 316
54, 293
54, 487
55, 498
56, 82
57, 346
57, 152
57, 99
58, 88
63, 672
65, 130
66, 446
66, 3938
66, 67
68, 225
68, 96
69, 154
70, 127
71, 76
71, 133
72, 300
73, 262
73, 199
75, 369
76, 285
76, 427
77, 216
78, 934
79, 204
80, 226
81, 125
84, 139
84, 219
84, 422
84, 171
85, 181
87, 209
87, 156
88, 204
88, 317
89, 488
89, 285
89, 208
90, 253
91, 291
91, 497
91, 138
92, 949
93, 273
94, 156
95, 120
96, 138
97, 341
102, 513
104, 155
105, 219
105, 199
106, 252
106, 228
106, 199
110, 259
111, 140
111, 207
112, 509
112, 148
112, 240
115, 235
115, 311
117, 269
120, 96
121, 657
122, 139
123, 218
123, 301
126, 128
131, 217
133, 481
133, 304
135, 298
136, 350
136, 122
139, 136
139, 426
141, 168
141, 141
142, 485
142, 99
143, 86
145, 268
145, 319
146, 128
146, 116
146, 122
147, 157
147, 330
147, 129
148, 218
149, 200
152, 299
152, 266
153, 602
156, 3036
156, 66
156, 4032
157, 408
158, 1046
159, 299
163, 119
163, 2342
164, 171
164, 840
164, 254
165, 96
168, 95
168, 113
174, 92
175, 189
176, 220
177, 189
178, 166
